lfare,dist,passen,mktshr,y97,y99
4.1896548,197,1064,.96800005,0,0
4.1896548,197,1162,.93300003,0,1
4.1896548,223,205,1,1,0
4.1896548,296,334,.58349997,0,0
4.1896548,296,1264,.99980003,1,0
4.1896548,328,1492,.81629997,1,0
4.1896548,347,536,.87889999,0,0
4.1896548,347,597,.85040003,1,0
4.1896548,351,307,.61250001,1,0
4.1896548,359,277,.68900001,1,0
4.1896548,368,1003,.62220001,1,0
4.1896548,446,1695,.98089999,1,0
4.1896548,447,2917,.58249998,1,0
4.1896548,564,1118,.45439997,0,0
4.2046928,180,270,.56490004,1,0
4.2046928,192,324,.99870002,0,1
4.2046928,223,1652,.9835,1,0
4.2046928,223,1693,.99050003,0,0
4.2046928,223,1855,.99959999,0,1
4.2046928,258,1862,.90559995,0,0
4.2046928,276,553,.93199998,0,0
4.2046928,280,198,.97300005,0,1
4.2046928,293,1017,.8222,1,0
4.2046928,313,379,.98280001,1,0
4.2046928,314,1071,.38959998,0,0
4.2046928,324,816,.73000002,1,0
4.2046928,337,3879,.74910003,0,0
4.2046928,342,353,.50849998,1,0
4.2046928,342,2218,.53790003,1,0
4.2046928,351,319,.52490002,0,1
4.2046928,406,118,.96769994,0,0
4.2046928,417,1978,.65709996,1,0
4.2195077,180,298,.60979998,0,1
4.2195077,180,301,.59470004,0,0
4.2195077,223,278,.792,1,0
4.2195077,229,327,.51910001,0,1
4.2195077,258,1994,.89300001,0,1
4.2195077,296,1030,.69929999,1,0
4.2195077,296,1353,.8222,0,0
4.2195077,308,2722,.50849998,0,0
4.2195077,313,372,.9813,0,1
4.2195077,321,377,.94730002,1,0
4.2195077,325,2154,.99959999,1,0
4.2195077,344,742,.54610002,0,0
4.2195077,373,2264,.4973,0,0
4.2195077,394,333,.55309999,1,0
4.2195077,399,904,.5011,0,1
4.2195077,410,418,.59640002,1,0
4.2195077,410,445,.59740001,0,1
4.2341065,229,332,.54769999,1,0
4.2341065,233,234,.98699999,1,0
4.2341065,237,1274,.65279996,1,0
4.2341065,313,371,.97660005,0,0
4.2341065,319,748,.87269998,1,0
4.2341065,321,376,.96069998,0,0
4.2341065,344,674,.59430003,1,0
4.2341065,355,517,.9874,0,0
4.2341065,399,779,.53390002,1,0
4.2341065,399,888,.56919998,0,0
4.2341065,405,2606,.48369998,0,0
4.2341065,422,327,.57840002,0,1
4.2341065,447,2910,.5977,0,0
4.2341065,471,432,.85300004,1,0
4.2341065,479,922,.68690002,1,0
4.2341065,492,368,.81809998,1,0
4.2341065,572,192,.75919998,1,0
4.2484951,237,1176,.625,0,0
4.2484951,271,937,.72449994,0,1
4.2484951,291,360,.5442,0,0
4.2484951,324,776,.77309996,0,1
4.2484951,324,785,.71760005,0,0
4.2484951,338,392,.96309996,1,0
4.2484951,342,2370,.57200003,0,0
4.2484951,355,490,.98870003,0,1
4.2484951,358,1557,.98370004,0,0
4.2484951,359,323,.755,0,1
4.2484951,361,1615,.97710001,0,0
4.2484951,389,1715,.96589994,0,0
4.2484951,410,470,.6099,0,0
4.2484951,479,1024,.60720003,0,0
4.2484951,480,1870,.95749998,0,0
4.2484951,492,420,.8761,0,1
4.2484951,495,598,.84230006,1,0
4.2626801,223,178,.99940002,0,1
4.2626801,223,255,.77870005,0,0
4.2626801,248,2149,.71529996,1,0
4.2626801,280,197,.98449999,0,0
4.2626801,293,963,.81839997,0,0
4.2626801,308,3144,.50300002,0,1
4.2626801,333,958,.98210001,0,0
4.2626801,335,147,.98449999,0,1
4.2626801,335,151,.96259999,0,0
4.2626801,342,434,.51370001,0,1
4.2626801,344,738,.59459996,0,1
4.2626801,422,296,.56119996,0,0
4.2626801,462,336,.53930002,0,1
4.2626801,471,495,.90930003,0,1
4.2626801,492,165,.574,1,0
4.2626801,492,395,.84650004,0,0
4.2766662,223,191,.99940002,0,0
4.2766662,223,255,.8664,0,1
4.2766662,229,360,.50049996,0,0
4.2766662,236,5572,.68889999,1,0
4.2766662,237,1133,.6347,0,1
4.2766662,251,2610,.42730001,1,0
4.2766662,271,904,.708,1,0
4.2766662,283,703,.70459998,0,1
4.2766662,293,951,.84349996,0,1
4.2766662,296,915,.66570002,0,0
4.2766662,314,1144,.50870001,1,0
4.2766662,351,301,.5352,0,0
4.2766662,361,1756,.97589993,0,1
4.2766662,371,1857,.65480006,1,0
4.2766662,415,423,.85180002,1,0
4.2766662,417,2125,.63120002,0,0
4.2766662,448,460,.67879999,1,0
4.2766662,448,540,.68050003,0,1
4.2904596,181,714,.72000003,1,0
4.2904596,233,216,.98790002,0,1
4.2904596,233,224,.99370003,0,0
4.2904596,296,906,.67110002,0,1
4.2904596,319,684,.87480003,0,1
4.2904596,325,2268,.99230003,0,0
4.2904596,333,1000,.97900003,0,1
4.2904596,337,4112,.77620006,0,1
4.2904596,359,274,.75870001,0,0
4.2904596,368,988,.6006,0,0
4.2904596,405,2423,.48019999,1,0
4.2904596,446,1831,.97029996,0,0
4.3040652,187,482,.70319998,1,0
4.3040652,192,1055,.70660001,1,0
4.3040652,251,2690,.43130001,0,0
4.3040652,319,709,.86910003,0,0
4.3040652,373,2262,.52490002,0,1
4.3040652,462,350,.52469999,0,0
4.3040652,488,474,.62900001,1,0
4.3040652,495,684,.84580004,0,1
4.3040652,564,1046,.4276,0,1
4.3174882,181,628,.68610001,0,0
4.3174882,204,516,.5334,1,0
4.3174882,248,2280,.69339997,0,0
4.3174882,342,2430,.52270001,0,1
4.3174882,363,762,.96790004,1,0
4.3174882,374,198,.89249998,1,0
4.3174882,386,1569,.65139997,1,0
4.3174882,390,884,.62259996,1,0
4.3174882,462,334,.50800002,1,0
4.3174882,471,420,.92210001,0,0
4.3174882,487,636,.43689999,0,1
4.3174882,852,219,.96429998,1,0
4.3307333,152,975,.75699997,1,0
4.3307333,183,2077,.51789999,0,0
4.3307333,187,464,.70069999,0,1
4.3307333,296,1273,.99959999,0,1
4.3307333,342,435,.55049998,0,0
4.3307333,358,1568,.98470002,0,1
4.3307333,368,1007,.69859999,0,1
4.3307333,390,1036,.45490003,0,1
4.3307333,397,899,.94370002,1,0
4.3307333,415,438,.76089996,0,1
4.3307333,447,2870,.56189996,0,1
4.3307333,479,1049,.67690003,0,1
4.3307333,487,600,.52679998,0,0
4.3307333,495,637,.88609999,0,0
4.3307333,543,1212,.54580003,0,1
4.3438053,183,1910,.71160007,1,0
4.3438053,187,467,.71489996,0,0
4.3438053,192,980,.77019995,0,0
4.3438053,226,971,.68080002,0,0
4.3438053,233,3657,.42570001,1,0
4.3438053,233,3768,.40880001,0,1
4.3438053,236,5362,.67699999,0,0
4.3438053,248,2235,.73589998,0,1
4.3438053,284,1732,.34130001,1,0
4.3438053,316,278,.93889999,1,0
4.3438053,363,664,.97379994,0,0
4.3438053,389,1737,.95789999,0,1
4.3438053,417,2247,.66170001,0,1
4.3438053,440,1063,.3705,0,0
4.3438053,448,446,.69220001,0,0
4.3438053,480,1891,.95649999,0,1
4.356709,152,921,.71589994,0,1
4.356709,181,602,.70529997,0,1
4.356709,192,994,.71379995,0,1
4.356709,204,463,.56049997,0,0
4.356709,325,2329,.99440002,0,1
4.356709,407,1345,.95730001,1,0
4.356709,440,1096,.37400001,0,1
4.356709,487,553,.5151,1,0
4.3694477,109,206,.6778,0,0
4.3694477,215,478,.74110001,0,1
4.3694477,233,3636,.39090002,0,0
4.3694477,271,918,.7669,0,0
4.3694477,290,198,.97190005,1,0
4.3694477,310,2651,.33150002,1,0
4.3694477,371,1936,.66240001,0,0
4.3694477,543,999,.53869998,1,0
4.3694477,550,499,.87050003,1,0
4.3694477,569,1568,.67160004,0,1
4.3820267,152,910,.76589996,0,0
4.3820267,236,5444,.67309999,0,1
4.3820267,264,195,.7561,0,0
4.3820267,284,1861,.35229999,0,0
4.3820267,337,4377,.79930001,0,0
4.3820267,371,2060,.61849999,0,1
4.3820267,372,1906,.68550003,1,0
4.3820267,405,2498,.48229998,0,1
4.3820267,415,447,.86980003,0,0
4.3820267,446,1922,.9576,0,1
4.3820267,488,488,.65639997,0,0
4.3820267,671,1918,.59619999,0,1
4.3820267,697,1823,.67089999,0,1
4.3944492,251,2745,.46450001,0,1
4.3944492,310,2559,.33070001,0,0
4.3944492,335,292,.95339996,1,0
4.3944492,423,903,.51599997,1,0
4.3944492,440,982,.41330001,1,0
4.3944492,443,518,.68480003,0,1
4.3944492,534,857,.50060004,0,1
4.3944492,588,656,.55189997,1,0
4.3944492,671,1572,.60820001,1,0
4.4067192,162,989,.42450002,1,0
4.4067192,183,2070,.59500003,0,1
4.4067192,310,2665,.3351,0,1
4.4067192,390,914,.63590002,0,0
4.4067192,569,1292,.67820001,0,0
4.4067192,584,422,.59459996,1,0
4.4067192,601,457,.52450001,1,0
4.4067192,697,1561,.72230005,0,0
4.4188404,162,948,.4253,0,1
4.4188404,326,1482,.99790001,0,0
4.4188404,337,4392,.85470003,1,0
4.4188404,386,1659,.56340003,0,0
4.4188404,397,955,.91110003,0,0
4.4188404,423,951,.57410002,0,1
4.4188404,466,66,.98360002,0,0
4.4188404,487,761,.71169996,1,0
4.4188404,977,268,.98460001,1,0
4.4308167,109,348,.47589999,0,1
4.4308167,303,2181,.62299997,1,0
4.4308167,363,609,.97890002,0,1
4.4308167,406,80,.96730006,0,1
4.4308167,488,472,.65580004,0,1
4.4308167,492,195,.49860001,0,0
4.4308167,508,254,.95249999,0,1
4.4308167,543,1013,.57880002,0,0
4.4308167,569,1244,.71910006,1,0
4.4308167,572,155,.8021,0,0
4.4308167,587,723,.85420001,1,0
4.4308167,590,1627,.64109999,1,0
4.4308167,697,1458,.68900001,1,0
4.4308167,724,243,.79890001,0,1
4.4426513,332,1246,.61299998,0,0
4.4426513,452,281,.63870001,1,0
4.4426513,487,484,.67449999,1,0
4.4426513,532,458,.71480006,1,0
4.4426513,572,160,.82889998,0,1
4.4426513,587,823,.89039999,0,0
4.4426513,590,1967,.61930001,0,1
4.4426513,604,518,.82089996,1,0
4.4426513,671,1533,.64819998,0,0
4.4543471,290,155,.97120005,0,0
4.4543471,290,179,.97019994,0,1
4.4543471,303,2109,.66230005,0,0
4.4543471,316,242,.9874,0,0
4.4543471,460,1418,.81379998,1,0
4.4543471,466,123,1,0,1
4.4543471,472,400,.6243,1,0
4.4543471,507,1356,.40799999,1,0
4.4543471,508,188,.94800001,0,0
4.4543471,520,244,.86220002,1,0
4.4543471,550,524,.90179998,0,1
4.4543471,550,1381,.62650001,1,0
4.4543471,605,983,.62970001,1,0
4.4543471,626,717,.67470002,1,0
4.4543471,724,201,.77870005,1,0
4.4659081,215,439,.68970001,0,0
4.4659081,303,2207,.64589995,0,1
4.4659081,326,1537,.99739999,1,0
4.4659081,352,492,.63990003,1,0
4.4659081,374,199,.81190002,0,0
4.4659081,394,275,.82599998,0,0
4.4659081,395,1259,.53500003,0,1
4.4659081,397,1065,.90580004,0,1
4.4659081,414,1678,.7098,1,0
4.4659081,550,1397,.58419997,0,1
4.4659081,558,426,.76499999,1,0
4.4659081,650,174,.54320002,1,0
4.4773369,332,1142,.66600001,1,0
4.4773369,337,4501,.79269999,0,1
4.4773369,394,850,.77940005,1,0
4.4773369,414,2310,.50259995,0,1
4.4773369,478,219,.70370001,1,0
4.4773369,484,222,.76019996,1,0
4.4773369,513,181,.699,1,0
4.4773369,550,525,.88769996,0,0
4.4773369,584,405,.55199999,0,0
4.4773369,601,503,.52139997,0,1
4.4886365,162,977,.44279999,0,0
4.4886365,231,603,.90219998,0,1
4.4886365,335,284,.95679998,0,0
4.4886365,372,1657,.65580004,0,1
4.4886365,386,1888,.56630003,0,1
4.4886365,395,1208,.50950003,1,0
4.4886365,407,1320,.93959999,0,0
4.4886365,423,937,.57639998,0,0
4.4886365,452,318,.67510003,0,1
4.4886365,546,211,.63429999,1,0
4.4886365,587,551,.38119999,0,1
4.4886365,587,847,.86980003,0,1
4.4886365,742,126,.36160001,1,0
4.4998097,215,351,.89039999,1,0
4.4998097,231,589,.96339995,1,0
4.4998097,335,284,.95749998,0,1
4.4998097,404,639,.95730001,1,0
4.4998097,559,720,.71830004,0,1
4.4998097,599,693,.65639997,1,0
4.4998097,605,983,.667,0,0
4.4998097,605,1074,.63300002,0,1
4.4998097,647,816,.60509998,1,0
4.4998097,762,1062,.44979998,1,0
4.5108595,226,934,.80059999,0,1
4.5108595,231,672,.78230006,0,0
4.5108595,334,192,.87489998,0,0
4.5108595,352,485,.63870001,0,0
4.5108595,374,177,.90650004,0,1
4.5108595,394,231,.86940002,0,1
4.5108595,407,1488,.95469999,0,1
4.5108595,414,1698,.72160006,0,0
4.5108595,550,1298,.65610003,0,0
4.5108595,588,658,.98989999,0,1
4.5108595,646,968,.64849997,1,0
4.5217886,262,345,.85960001,1,0
4.5217886,284,1567,.4975,0,1
4.5217886,372,1483,.96279997,0,0
4.5217886,395,1186,.50569999,0,0
4.5217886,492,154,.4463,0,1
4.5217886,601,485,.50270003,0,0
4.5217886,630,729,.75769997,1,0
4.5217886,636,132,.7288,1,0
4.5325994,270,1027,.72780001,0,0
4.5325994,326,1380,.99830002,0,1
4.5325994,460,1441,.7978,0,1
4.5325994,472,381,.6196,0,0
4.5325994,487,539,.79470003,0,1
4.5325994,689,965,.64719999,1,0
4.5325994,742,129,.6067,0,0
4.5432949,262,324,.98559999,0,0
4.5432949,270,1032,.76429999,0,1
4.5432949,437,1390,.59179997,1,0
4.5432949,460,273,.76779997,1,0
4.5432949,487,478,.81730002,0,0
4.5432949,507,1381,.4756,0,1
4.5432949,588,535,.96339995,1,0
4.5432949,678,2407,.58319998,0,1
4.5432949,733,225,.75999999,0,1
4.5432949,762,1096,.4698,0,0
4.5432949,762,1285,.3748,0,1
4.5432949,776,152,.97269994,1,0
4.5538769,264,225,.7414,0,1
4.5538769,352,455,.68510002,0,1
4.5538769,520,226,.84790003,0,0
4.5538769,546,207,.64099997,0,1
4.5538769,585,418,.91269994,1,0
4.5538769,588,542,.98940003,0,0
4.5538769,650,183,.48400003,0,0
4.5538769,650,191,.56470001,0,1
4.5538769,651,1779,.42259997,1,0
4.5538769,678,2275,.59960002,1,0
4.5538769,678,2275,.60750002,0,0
4.5538769,733,215,.79530001,1,0
4.5538769,866,1562,.45520002,1,0
4.5643482,316,252,.98400003,0,1
4.5643482,408,1134,.62900001,0,0
4.5643482,452,314,.62910002,0,0
4.5643482,520,248,.88529998,0,1
4.5643482,546,202,.69449997,0,0
4.5643482,558,418,.73110002,0,0
4.5643482,616,612,.5345,1,0
4.5643482,636,213,.9217,0,1
4.5643482,724,192,.78790003,0,0
4.5643482,733,212,.83459997,0,0
4.5643482,742,116,.66510004,0,1
4.5747108,200,227,.98230004,1,0
4.5747108,200,243,.98030001,0,1
4.5747108,204,397,.60119998,0,1
4.5747108,332,1173,.66540003,0,1
4.5747108,478,274,.7306,0,0
4.5747108,507,1297,.4664,0,0
4.5747108,513,210,.74940002,0,1
4.5747108,551,307,.83699995,1,0
4.5747108,580,1244,.67290002,1,0
4.5747108,590,1561,.62269998,0,0
4.5747108,682,417,.78110003,0,0
4.5747108,797,169,.98330003,1,0
4.5849676,227,689,.7683,0,1
4.5849676,270,885,.85120004,1,0
4.5849676,392,321,.66970003,1,0
4.5849676,460,302,.8118,0,1
4.5849676,472,389,.68110001,0,1
4.5849676,495,282,.66110003,1,0
4.5849676,513,168,.80470002,0,0
4.5849676,646,1105,.67070001,0,1
4.5849676,651,1697,.41139999,0,1
4.5849676,689,984,.61489999,0,1
4.5849676,759,157,.97290003,1,0
4.5849676,802,786,.54170001,1,0
4.59512,410,130,.82319999,1,0
4.59512,473,690,.35139999,0,1
4.59512,562,1140,.63270003,1,0
4.59512,621,1215,.5147,1,0
4.59512,621,1252,.49830002,0,0
4.59512,630,732,.69059998,0,1
4.59512,636,177,.84769994,0,0
4.59512,663,623,.5183,0,1
4.59512,718,389,.71429998,1,0
4.59512,748,248,.79589999,1,0
4.6051702,334,163,.79839998,1,0
4.6051702,408,204,.63389999,1,0
4.6051702,411,198,.514,0,1
4.6051702,437,1418,.54180002,0,0
4.6051702,516,535,.91440004,0,1
4.6051702,651,1604,.44189999,0,0
4.6051702,682,391,.69639999,1,0
4.6051702,689,927,.66260004,0,0
4.6051702,712,561,.54330003,0,1
4.6051702,752,205,.44679999,1,0
4.6051702,829,504,.303,1,0
4.6151204,193,389,.71900004,1,0
4.6151204,306,682,.71300006,0,1
4.6151204,394,792,.79879999,0,0
4.6151204,440,504,.69660002,1,0
4.6151204,484,271,.80260003,0,1
4.6151204,496,336,.9152,1,0
4.6151204,532,437,.81580001,0,0
4.6151204,559,401,.64309996,0,0
4.6151204,584,392,.62349999,0,1
4.6151204,611,2634,.40130001,1,0
4.6151204,626,706,.73150003,0,0
4.6249728,407,189,.72160006,1,0
4.6249728,408,757,.92879999,1,0
4.6249728,425,1096,.77919996,0,0
4.6249728,440,495,.73710001,0,1
4.6249728,458,388,.7999,1,0
4.6249728,460,277,.7938,0,0
4.6249728,478,255,.72080004,0,1
4.6249728,616,661,.54939997,0,0
4.6249728,630,727,.7324,0,0
4.6249728,644,188,.85430002,0,0
4.6249728,647,1163,.44779998,0,1
4.6249728,1011,552,.52109998,0,0
4.6249728,1073,1017,.5029,1,0
4.6347289,264,135,.5808,1,0
4.6347289,356,1441,.65459996,0,1
4.6347289,394,821,.82660002,0,1
4.6347289,425,922,.8294,1,0
4.6347289,484,236,.76050001,0,0
4.6347289,611,2698,.40450001,0,0
4.6347289,616,664,.54680002,0,1
4.6347289,621,1308,.54699999,0,1
4.6347289,646,968,.67620003,0,0
4.6347289,663,521,.53680003,0,0
4.6347289,677,935,.815,1,0
4.6347289,682,460,.78470004,0,1
4.6347289,842,1226,.60280001,0,1
4.6347289,1034,440,.56459999,0,0
4.6347289,1140,720,.53419995,1,0
4.6443911,383,224,.72190005,1,0
4.6443911,418,603,.5776,1,0
4.6443911,437,1300,.62779999,0,1
4.6443911,457,777,.73760003,0,1
4.6443911,457,791,.74370003,1,0
4.6443911,483,158,.7421,1,0
4.6443911,495,277,.67610002,0,1
4.6443911,533,979,.60100001,1,0
4.6443911,559,294,.44400001,1,0
4.6443911,722,256,.48150003,1,0
4.6443911,787,1356,.65730006,0,0
4.6443911,787,1551,.58399999,0,1
4.6443911,861,282,.57980001,1,0
4.6443911,866,1607,.49360001,0,0
4.6539602,238,449,.97000003,1,0
4.6539602,457,775,.6706,0,0
4.6539602,558,375,.72760004,0,1
4.6539602,647,789,.55919999,0,0
4.6539602,752,213,.53110003,0,0
4.6539602,829,615,.54589999,0,0
4.6539602,861,178,.58169997,0,0
4.6539602,1073,529,.5632,0,0
4.6634393,129,720,.70839995,1,0
4.6634393,383,224,.63730001,0,0
4.6634393,392,325,.62169999,0,1
4.6634393,508,144,.91550004,1,0
4.6634393,516,472,.9357,0,0
4.6634393,528,152,.83859998,1,0
4.6634393,528,265,.81330001,0,0
4.6634393,562,1040,.60769999,0,1
4.6634393,602,2031,.53169996,1,0
4.6634393,604,434,.86849999,0,0
4.6634393,611,2706,.36840001,0,1
4.6634393,612,399,.72850001,1,0
4.6634393,647,864,.54470003,0,1
4.6634393,828,937,.51440001,1,0
4.6634393,828,988,.5029,0,0
4.6634393,955,423,.77620006,0,0
4.6728287,297,682,.86830002,0,1
4.6728287,496,350,.88870001,0,1
4.6728287,532,218,.43400002,0,0
4.6728287,562,1029,.56299996,0,0
4.6728287,585,420,.87230003,0,0
4.6728287,599,762,.6796,0,0
4.6728287,728,233,.4718,1,0
4.6728287,737,942,.55259997,0,1
4.6728287,739,169,.67519999,0,1
4.6728287,866,1888,.44859999,0,1
4.6728287,1035,509,.4659,0,1
4.6728287,1050,1441,.60470003,0,1
4.6728287,1100,386,.45259997,1,0
4.6821313,129,666,.97029996,0,0
4.6821313,392,291,.6796,0,0
4.6821313,407,178,.63800001,0,1
4.6821313,418,613,.61119998,0,1
4.6821313,440,498,.74470001,0,0
4.6821313,632,194,.76249999,1,0
4.6821313,737,1057,.55019999,1,0
4.6821313,852,332,.98460001,0,0
4.6821313,1021,253,.3944,1,0
4.6913481,193,346,.76269996,0,0
4.6913481,407,172,.78500003,0,0
4.6913481,412,151,.89899999,1,0
4.6913481,418,534,.59780002,0,0
4.6913481,458,382,.829,0,0
4.6913481,525,373,.92949998,1,0
4.6913481,580,962,.65300006,0,0
4.6913481,594,1421,.4788,0,0
4.6913481,595,1513,.53029996,0,0
4.6913481,601,119,.3488,1,0
4.6913481,628,368,.84449995,1,0
4.6913481,634,207,.45640001,1,0
4.6913481,718,448,.68480003,0,1
4.6913481,754,201,.70999998,1,0
4.6913481,802,738,.72670001,0,0
4.6913481,823,214,.72610003,1,0
4.6913481,852,249,.7536,1,0
4.6913481,955,381,.84519994,0,1
4.6913481,977,387,.99190003,0,0
4.6913481,1069,584,.7723,1,0
4.7004805,200,239,.97730005,0,0
4.7004805,302,290,.81199998,1,0
4.7004805,328,270,.8308,1,0
4.7004805,356,1297,.70179999,0,0
4.7004805,425,1076,.72660005,0,1
4.7004805,452,860,.56870002,0,1
4.7004805,487,602,.9228,0,0
4.7004805,495,264,.67000002,0,0
4.7004805,535,242,.88769996,1,0
4.7004805,580,980,.66530001,0,1
4.7004805,588,478,.96379995,0,0
4.7004805,636,194,.8154,1,0
4.7004805,644,115,.75660002,1,0
4.7004805,644,174,.87339997,0,1
4.7004805,663,432,.50139999,1,0
4.7004805,675,217,.43400002,1,0
4.7004805,718,401,.66860002,0,0
4.7004805,787,1273,.53670001,1,0
4.7004805,802,835,.69510001,0,1
4.7004805,842,984,.63849998,0,0
4.7004805,852,248,.70129997,0,0
4.7004805,877,204,.72300005,1,0
4.7004805,1006,376,.42880002,1,0
4.7004805,1050,1266,.65660006,0,0
4.7004805,1053,445,.62770003,0,0
4.7095304,308,398,.9522,0,0
4.7095304,334,150,.89910007,0,1
4.7095304,452,831,.58999997,1,0
4.7095304,487,597,.92339998,0,1
4.7095304,809,232,.39570001,1,0
4.7095304,829,696,.55119997,0,1
4.7095304,852,444,.99089998,0,1
4.7095304,877,208,.75279999,0,0
4.7095304,907,346,.52529997,1,0
4.7095304,908,221,.75660002,1,0
4.7095304,972,695,.77809995,0,1
4.7095304,973,278,.34740001,1,0
4.7095304,1011,519,.63849998,0,1
4.7095304,1073,976,.40630001,0,0
4.7095304,1111,661,.65139997,0,1
4.7095304,1137,423,.53250003,1,0
4.7184987,314,889,.70469999,0,1
4.7184987,403,1700,.81989998,1,0
4.7184987,404,608,.9619,0,1
4.7184987,411,152,.45249999,1,0
4.7184987,432,521,.68309999,0,0
4.7184987,494,209,.65309995,1,0
4.7184987,515,425,.72500002,0,0
4.7184987,532,227,.63730001,1,0
4.7184987,677,886,.80470002,0,0
4.7184987,680,1299,.48459998,0,0
4.7184987,797,155,.93550003,0,1
4.7184987,840,612,.49470001,1,0
4.7184987,921,72,.33990002,0,0
4.7184987,972,486,.66000003,1,0
4.7184987,1035,193,.65580004,0,0
4.7184987,1041,319,.34810001,1,0
4.7184987,1050,1163,.83230001,1,0
4.7184987,1085,505,.61080003,1,0
4.7184987,1111,617,.69569999,0,0
4.7184987,1212,324,.29549998,0,0
4.7273879,320,561,.6753,0,1
4.7273879,403,2011,.75959998,0,0
4.7273879,406,1894,.78839993,0,0
4.7273879,408,928,.76239997,0,1
4.7273879,496,308,.92769998,0,0
4.7273879,528,336,.82620001,0,1
4.7273879,534,510,.66370004,0,0
4.7273879,544,351,.52919996,1,0
4.7273879,612,482,.80779999,0,0
4.7273879,612,490,.85210001,0,1
4.7273879,628,374,.7525,0,0
4.7273879,632,201,.68559998,0,0
4.7273879,641,1953,.52279997,1,0
4.7273879,748,262,.7665,0,0
4.7273879,823,227,.63099998,0,0
4.7273879,828,1027,.48610002,0,1
4.7273879,895,842,.50999999,0,0
4.7361984,238,408,.97330004,0,0
4.7361984,406,1768,.80730003,1,0
